Date,Open,High,Low,Close,Adj Close,Volume
2/1/2009,8772.25,9065.280273,8760.780273,9034.69043,9034.69043,213700000
5/1/2009,9027.129883,9034.370117,8892.360352,8952.889648,8952.889648,233760000
6/1/2009,8954.570313,9088.05957,8940.950195,9015.099609,9015.099609,215410000
7/1/2009,8996.94043,8996.94043,8719.919922,8769.700195,8769.700195,266710000
8/1/2009,8769.94043,8770.019531,8651.19043,8742.459961,8742.459961,226620000
9/1/2009,8738.799805,8769.620117,8576.959961,8599.179688,8599.179688,204300000
12/1/2009,8599.259766,8602.599609,8421.080078,8473.969727,8473.969727,273550000
13/1/2009,8474.610352,8522.080078,8376.879883,8448.55957,8448.55957,304050000
14/1/2009,8446.009766,8446.25,8140.720215,8200.139648,8200.139648,355050000
15/1/2009,8196.240234,8286.160156,7995.129883,8212.490234,8212.490234,436660000
16/1/2009,8215.669922,8341.200195,8109.339844,8281.219727,8281.219727,439360000
20/1/2009,8279.629883,8291.980469,7939.930176,7949.089844,7949.089844,419200000
21/1/2009,7949.169922,8243.549805,7936.189941,8228.099609,8228.099609,410040000
22/1/2009,8224.429688,8224.830078,7957.140137,8122.799805,8122.799805,420040000
23/1/2009,8108.790039,8152.589844,7909.029785,8077.560059,8077.560059,370510000
26/1/2009,8078.040039,8231.679688,8023.160156,8116.029785,8116.029785,316720000
27/1/2009,8117.390137,8225.790039,8083.140137,8174.72998,8174.72998,247750000
28/1/2009,8175.930176,8405.870117,8175.930176,8375.450195,8375.450195,357940000
29/1/2009,8373.05957,8373.139648,8137.939941,8149.009766,8149.009766,247450000
30/1/2009,8149.009766,8195.759766,7961.919922,8000.859863,8000.859863,303160000
2/2/2009,8000.620117,8000.620117,7867.370117,7936.75,7936.75,293890000
3/2/2009,7936.990234,8111.569824,7905.52002,8078.359863,8078.359863,313090000
4/2/2009,8070.319824,8162.149902,7929.259766,7956.660156,7956.660156,345520000
5/2/2009,7954.830078,8107.830078,7845.310059,8063.069824,8063.069824,390980000
6/2/2009,8056.379883,8312.370117,8052.240234,8280.589844,8280.589844,396380000
9/2/2009,8281.379883,8315.070313,8196.240234,8270.870117,8270.870117,289280000
10/2/2009,8269.360352,8269.44043,7848.740234,7888.879883,7888.879883,449890000
11/2/2009,7887.049805,7983.740234,7852.160156,7939.529785,7939.529785,270280000
12/2/2009,7931.970215,7938.819824,7693.97998,7932.759766,7932.759766,331960000
13/2/2009,7933,7970.839844,7840.450195,7850.410156,7850.410156,251960000
17/2/2009,7845.629883,7845.629883,7551.009766,7552.600098,7552.600098,332850000
18/2/2009,7546.350098,7617.759766,7479.970215,7555.629883,7555.629883,268220000
19/2/2009,7555.22998,7614.970215,7447.549805,7465.950195,7465.950195,301480000
20/2/2009,7461.490234,7469.290039,7249.470215,7365.669922,7365.669922,584900000
23/2/2009,7365.990234,7441.02002,7105.939941,7114.779785,7114.779785,406150000
24/2/2009,7115.339844,7378.970215,7114.299805,7350.939941,7350.939941,468010000
25/2/2009,7349.580078,7404.939941,7156.680176,7270.890137,7270.890137,450270000
26/2/2009,7269.060059,7402.310059,7173.560059,7182.080078,7182.080078,321300000
27/2/2009,7180.970215,7195.459961,7033.620117,7062.930176,7062.930176,667950000
2/3/2009,7056.47998,7058.950195,6755.169922,6763.290039,6763.290039,568670000
3/3/2009,6764.810059,6855.290039,6705.629883,6726.02002,6726.02002,445280000
4/3/2009,6726.5,6979.220215,6726.419922,6875.839844,6875.839844,464830000
5/3/2009,6874.009766,6874.009766,6544.100098,6594.439941,6594.439941,509770000
6/3/2009,6595.160156,6755.169922,6469.950195,6626.939941,6626.939941,425170000
9/3/2009,6625.740234,6709.609863,6516.859863,6547.049805,6547.049805,365990000
10/3/2009,6547.009766,6926.490234,6546.609863,6926.490234,6926.490234,640020000
11/3/2009,6923.129883,7015.060059,6867.549805,6930.399902,6930.399902,524430000
12/3/2009,6932.390137,7184.709961,6872.25,7170.060059,7170.060059,488690000
13/3/2009,7167.350098,7242.620117,7105.859863,7223.97998,7223.97998,479010000
16/3/2009,7225.330078,7392.910156,7206.850098,7216.970215,7216.970215,586970000
17/3/2009,7218,7396.810059,7172.049805,7395.700195,7395.700195,391880000
18/3/2009,7395.700195,7571.640137,7257.27002,7486.580078,7486.580078,584110000
19/3/2009,7489.680176,7548.459961,7369.259766,7400.799805,7400.799805,559920000
20/3/2009,7402.310059,7460.930176,7257.830078,7278.379883,7278.379883,672950000
23/3/2009,7279.25,7780.720215,7278.779785,7775.859863,7775.859863,515600000
24/3/2009,7773.470215,7796.569824,7646.990234,7659.970215,7659.970215,379670000
25/3/2009,7659.810059,7863.629883,7550.060059,7749.810059,7749.810059,454090000
26/3/2009,7752.359863,7931.330078,7752.279785,7924.560059,7924.560059,397260000
27/3/2009,7922.569824,7922.569824,7735.950195,7776.180176,7776.180176,323650000
30/3/2009,7773.310059,7773.390137,7437.589844,7522.02002,7522.02002,383260000
31/3/2009,7523.77002,7725.359863,7523.450195,7608.919922,7608.919922,399840000
1/4/2009,7606.129883,7789,7483.870117,7761.600098,7761.600098,361340000
2/4/2009,7763.990234,8075.72998,7763.990234,7978.080078,7978.080078,442820000
3/4/2009,7980.629883,8019.5,7897.240234,8017.589844,8017.589844,308210000
6/4/2009,8016.160156,8016.160156,7862.200195,7975.850098,7975.850098,247400000
7/4/2009,7968.919922,7969.080078,7762.080078,7789.560059,7789.560059,276920000
8/4/2009,7788.680176,7887.52002,7750.850098,7837.109863,7837.109863,255350000
9/4/2009,7839.890137,8087.279785,7839.890137,8083.379883,8083.379883,462060000
13/4/2009,8082.02002,8113.410156,7963.75,8057.810059,8057.810059,424250000
14/4/2009,8057.410156,8057.410156,7902.259766,7920.180176,7920.180176,513010000
15/4/2009,7914.919922,8041.319824,7870.47998,8029.620117,8029.620117,413280000
16/4/2009,8029.140137,8168.120117,7962.709961,8125.430176,8125.430176,359470000
17/4/2009,8125.430176,8190.660156,8086.879883,8131.330078,8131.330078,537670000
20/4/2009,8128.939941,8128.939941,7840.450195,7841.72998,7841.72998,453660000
21/4/2009,7841.72998,7979.200195,7791.950195,7969.560059,7969.560059,424030000
22/4/2009,7964.779785,8044.830078,7868.009766,7886.569824,7886.569824,387030000
23/4/2009,7886.810059,7979.439941,7804.209961,7957.060059,7957.060059,327240000
24/4/2009,7957.450195,8127.5,7957.450195,8076.290039,8076.290039,402720000
27/4/2009,8073.819824,8122.560059,7987.160156,8025,8025,282990000
28/4/2009,8023.560059,8091.660156,7938.97998,8016.950195,8016.950195,274710000
29/4/2009,8018.310059,8257.570313,8017.910156,8185.72998,8185.72998,300340000
30/4/2009,8188.509766,8307.509766,8136.899902,8168.120117,8168.120117,341400000
1/5/2009,8167.410156,8219.80957,8099.310059,8212.410156,8212.410156,237360000
4/5/2009,8213.599609,8434.860352,8213.599609,8426.740234,8426.740234,354490000
5/5/2009,8425.549805,8458.120117,8362.780273,8410.650391,8410.650391,311490000
6/5/2009,8403.480469,8518.570313,8403,8512.280273,8512.280273,454480000
7/5/2009,8512.280273,8577.19043,8358,8409.849609,8409.849609,476640000
8/5/2009,8410.730469,8587.549805,8410.730469,8574.650391,8574.650391,428420000
11/5/2009,8569.230469,8569.230469,8410.330078,8418.769531,8418.769531,332630000
12/5/2009,8419.169922,8517.459961,8365.650391,8469.110352,8469.110352,334840000
13/5/2009,8461.799805,8462.040039,8262.429688,8284.889648,8284.889648,336930000
14/5/2009,8285.919922,8376.639648,8273.900391,8331.320313,8331.320313,323800000
15/5/2009,8326.219727,8394.959961,8230.169922,8268.639648,8268.639648,308820000
18/5/2009,8270.150391,8511.879883,8270.150391,8504.080078,8504.080078,288280000
19/5/2009,8502.480469,8538.009766,8463.540039,8474.849609,8474.849609,277710000
20/5/2009,8471.820313,8591.929688,8405.469727,8422.040039,8422.040039,468640000
21/5/2009,8416.070313,8416.150391,8221.009766,8292.129883,8292.129883,302280000
22/5/2009,8292.209961,8364.139648,8257.169922,8277.320313,8277.320313,244190000
26/5/2009,8277.320313,8495.709961,8226.900391,8473.490234,8473.490234,314760000
27/5/2009,8473.650391,8496.589844,8289.349609,8300.019531,8300.019531,285990000
28/5/2009,8300.5,8434.620117,8246.580078,8403.799805,8403.799805,290730000
29/5/2009,8404.040039,8522.950195,8368.519531,8500.330078,8500.330078,361910000
1/6/2009,8501.530273,8760.700195,8501.290039,8721.44043,8721.44043,354830000
2/6/2009,8721.599609,8787.129883,8693.719727,8740.870117,8740.870117,257560000
3/6/2009,8740.070313,8740.389648,8598.379883,8675.240234,8675.240234,252160000
4/6/2009,8675.280273,8751.25,8634.570313,8750.240234,8750.240234,237800000
5/6/2009,8751.75,8839.400391,8700.410156,8763.129883,8763.129883,254970000
8/6/2009,8759.349609,8823.969727,8633.070313,8764.490234,8764.490234,189630000
9/6/2009,8764.830078,8803.259766,8725.120117,8763.05957,8763.05957,187930000
10/6/2009,8763.660156,8834.929688,8639.950195,8739.019531,8739.019531,219920000
11/6/2009,8736.230469,8877.929688,8736.230469,8770.919922,8770.919922,249900000
12/6/2009,8770.009766,8805.530273,8716.730469,8799.259766,8799.259766,164020000
15/6/2009,8798.5,8798.5,8577.900391,8612.129883,8612.129883,230220000
16/6/2009,8612.44043,8643.650391,8499.379883,8504.669922,8504.669922,240690000
17/6/2009,8504.360352,8563.009766,8461.290039,8497.179688,8497.179688,237870000
18/6/2009,8496.730469,8590.519531,8475.120117,8555.599609,8555.599609,220050000
19/6/2009,8556.959961,8616.589844,8496.730469,8539.730469,8539.730469,528710000
22/6/2009,8538.519531,8538.830078,8334.549805,8339.009766,8339.009766,291240000
23/6/2009,8340.44043,8370.900391,8286.410156,8322.910156,8322.910156,237150000
24/6/2009,8323.509766,8428.410156,8259.879883,8299.860352,8299.860352,189430000
25/6/2009,8299.25,8490.459961,8259.429688,8472.400391,8472.400391,222540000
26/6/2009,8468.540039,8468.769531,8401.360352,8438.389648,8438.389648,307640000
29/6/2009,8440.129883,8533.230469,8429.089844,8529.379883,8529.379883,216480000
30/6/2009,8528.929688,8560.44043,8393.950195,8447,8447,233340000
1/7/2009,8447.530273,8580.469727,8447.530273,8504.05957,8504.05957,184600000
2/7/2009,8503,8503.230469,8280.740234,8280.740234,8280.740234,157800000
6/7/2009,8280.740234,8327.969727,8205.990234,8324.870117,8324.870117,206900000
7/7/2009,8324.950195,8326.30957,8154.379883,8163.600098,8163.600098,210880000
8/7/2009,8163.600098,8219.519531,8087.189941,8178.410156,8178.410156,325250000
9/7/2009,8179.009766,8228.669922,8145.310059,8183.169922,8183.169922,192660000
10/7/2009,8182.490234,8183.850098,8093.310059,8146.52002,8146.52002,174260000
13/7/2009,8146.52002,8331.679688,8130.419922,8331.679688,8331.679688,253520000
14/7/2009,8331.370117,8361.230469,8285.200195,8359.490234,8359.490234,189170000
15/7/2009,8363.950195,8628.230469,8363.950195,8616.209961,8616.209961,305000000
16/7/2009,8612.660156,8739.549805,8584.400391,8711.820313,8711.820313,216580000
17/7/2009,8711.889648,8754.290039,8674.410156,8743.94043,8743.94043,301410000
20/7/2009,8746.049805,8854.799805,8745.900391,8848.150391,8848.150391,213730000
21/7/2009,8848.150391,8927.129883,8811.269531,8915.94043,8915.94043,218910000
22/7/2009,8912.389648,8949.799805,8860.320313,8881.259766,8881.259766,199010000
23/7/2009,8882.30957,9096.719727,8866.44043,9069.290039,9069.290039,274760000
24/7/2009,9066.110352,9100.879883,9007.389648,9093.240234,9093.240234,214310000
27/7/2009,9093.089844,9123.400391,9034.519531,9108.509766,9108.509766,176830000
28/7/2009,9106.919922,9124.910156,9007.469727,9096.719727,9096.719727,198270000
29/7/2009,9092.339844,9094.830078,9014.19043,9070.719727,9070.719727,190510000
30/7/2009,9072.839844,9246.429688,9072.610352,9154.459961,9154.459961,232410000
31/7/2009,9154.610352,9218.769531,9133.450195,9171.610352,9171.610352,265570000
3/8/2009,9173.650391,9298.429688,9173.650391,9286.55957,9286.55957,221690000
4/8/2009,9285.049805,9321.099609,9250.740234,9320.19043,9320.19043,195990000
